"","Artist.Reputation","Height","Base.Shipping.Price","Weight_log","Price_of_Sculpture_log"
"1",0.26,17,16.27,8.3255483071614,2.63260800593535
"2",0.28,3,15,4.11087386417331,1.9213246735827
"3",0.07,8,21.18,5.46806014113513,1.60140574073684
"5",0.15,17,11.94,5.78074351579233,1.15688119679209
"6",0.99,46,16.88,7.07157336421153,1.81807677754543
"7",0.64,17,90.67,8.89068592028113,2.11142458753289
"8",0.74,23,13.25,8.09773057366422,2.55022611590864
"9",0,6,19.76,4.68213122712422,1.38128181929635
"10",0.12,23,49.25,12.1819131408125,5.50382633865044
"11",0.14,47,85.09,10.6172703466961,3.6168462512141
"13",0.26,13,20.72,7.3356339819272,1.76985463384001
"15",0.69,21,16.43,8.28248300373056,2.64119789411437
"17",0.27,10,28.18,9.385049695768,3.3833727967496
"18",0.1,37,64.64,12.3861541953808,6.64895864295344
"19",0.11,19,82.84,8.98419231164167,1.96009478404727
"21",0.59,20,15.76,5.28826703069454,1.71559810826249
"23",0.66,9,10.48,5.21493575760899,1.93152141160321
"24",0.57,29,30.87,13.5221725206563,8.13268298765446
"25",0.43,24,91.58,12.4744266280751,7.35378634883696
"27",0.2,25,93.59,8.97474461272273,2.14710019015365
"28",0.47,28,19.83,6.89264164117209,1.91102289005487
"29",0.51,16,59.22,11.062253764024,5.01853732399211
"30",0.67,17,11.04,5.2040066870768,1.79175946922805
"31",0.56,20,99.06,10.8958871106626,5.09332066071486
"32",0.25,10,18.35,8.49699048409872,3.25153660710775
"33",0.31,13,24.67,6.10702288774225,1.59127394180643
"34",0.57,6,22.24,4.36944785246702,1.54968790802833
"36",0.68,8,20.36,5.70711026474888,1.47704872438835
"37",0.23,16,13.82,5.8805329864007,1.18172719537862
"38",0.52,36,17,6.38519439899773,1.35066718347674
"39",0.59,22,89.55,9.6832148763136,4.60035862899087
"40",0.01,16,22.03,6.90975328164481,1.42310833424261
"41",0.93,29,78.75,8.95635094049087,3.19006474301408
"43",0.86,49,81.85,12.1904157129541,4.75617305952462
"44",0.27,6,15.04,5.87211778947542,1.14422279992016
"45",0.17,20,11.07,8.20767442435528,1.63510565918268
"46",0.54,36,48.17,11.0299743779702,4.12066187053947
"47",0.07,9,11.75,4.30406509320417,1.91250108692418
"48",0.51,8,23.85,5.37063802812766,1.83258146374831
"49",0.59,16,19.77,8.45083969086622,2.31055326264322
"50",0.29,24,15.8,7.80098207125774,1.64480505627139
